"%Inc Armour from Tree","방어 증가%(트리)"
"Grants Summon Greater Harbinger of Directions Skill","Grants Summon Greater Harbinger of Directions Skill"
"Grants Summon Greater Harbinger of Storms Skill","Grants Summon Greater Harbinger of Storms Skill"
"Grants Summon Greater Harbinger of Time Skill","Grants Summon Greater Harbinger of Time Skill"
"Grants Summon Harbinger of Directions Skill","지시의 선구자 소환 스킬 적용"
"Grants Summon Harbinger of Storms Skill","태풍의 선구자 소환 스킬 적용"
"Grants Summon Harbinger of Time Skill","시간의 선구자 소환 스킬 적용"
"Ground effects last {0} seconds","{0}초간 지면 효과 지속"
"Ground Slam has a {0} chance to grant an Endurance Charge when you Stun an Enemy","Ground Slam has a {0} chance to grant an Endurance Charge when you Stun an Enemy"
"Ground Slam has a {0} reduced angle","Ground Slam has a {0} reduced angle"
"Ground Slam has a {0}% increased angle","대지 강타의 각도 {0}% 증가"
"Group Frenzy on Death","사망 시 집단 격분"
"Guard Skills have {0} increased Duration","수호 스킬의 지속 시간 {0} 증가"
"Guard Skills have {0} reduced Duration","수호 스킬의 지속 시간 {0} 감소"
"Guard Skills have {0}% increased Duration","수호 스킬의 지속 시간 {0}% 증가"
"Guard Skills have {0}% reduced Duration","수호 스킬의 지속 시간 {0}% 감소"
"Guards deal {0} increased Damage","Guards deal {0} increased Damage"
"Guards have {0} chance to be Magic","Guards have {0} chance to be Magic"
"Guards remove Alert Level on Death","Guards remove Alert Level on Death"
"Guards take {0} reduced Damage","Guards take {0} reduced Damage"
"Half of your Strength is added to your Minions","자신의 힘 절반을 소환수에게 추가"
"Has {0} Abyssal Sockets","심연 홈 {0}개"
"has {0} increased Area of Effect per Chain","has {0} increased Area of Effect per Chain"
"Has {0} White Sockets","Has {0} White Sockets"
"Has 1 Abyssal Socket","심연 홈 1개"
"Has 1 White Socket","Has 1 White Socket"
"Has an additional Implicit Mod","추가 고정 속성 부여 보유"
"Has Elder, Shaper and all Conqueror Influences","Has Elder, Shaper and all Conqueror Influences"
"Has maximum Quality","최대 퀄리티"
"Has no Blue Sockets","Has no Blue Sockets"
"Has no Red Sockets","Has no Red Sockets"
"Has not Consumed any Gems","Has not Consumed any Gems"
"Haste has {0} increased Mana Reservation","Haste has {0} increased Mana Reservation"
"Haste has {0}% increased Mana Reservation","가속의 마나 점유 {0}% 증가"
"Haste Reserves no Mana","가속의 마나 점유가 없어짐"
"Hatred has {0} increased Mana Reservation","Hatred has {0} increased Mana Reservation"
"Hatred has {0} more Mana Reservation","Hatred has {0} more Mana Reservation"
"Hatred has {0} reduced Mana Reservation","Hatred has {0} reduced Mana Reservation"
"Hatred has {0}% increased Mana Reservation","증오의 마나 점유 {0}% 증가"
"Hatred has {0}% reduced Mana Reservation","증오의 마나 점유 {0}% 감소"
"have {0} increased Attack Speed","have {0} increased Attack Speed"
"have {0}% increased Attack Speed","have {0}% increased Attack Speed"
"Heavy Strike has a {0} chance to deal Double Damage","Heavy Strike has a {0} chance to deal Double Damage"
"Heist Chests contain more valuable Uniques","Heist Chests contain more valuable Uniques"
"Heist Chests Duplicate contained Basic Currency","Heist Chests Duplicate contained Basic Currency"
"Heist Chests Duplicate contained Breach Splinters","Heist Chests Duplicate contained Breach Splinters"
"Heist Chests Duplicate contained Currency","Heist Chests Duplicate contained Currency"
"Heist Chests Duplicate contained Divination Cards","Heist Chests Duplicate contained Divination Cards"
"Heist Chests Duplicate contained Jewels","Heist Chests Duplicate contained Jewels"
"Heist Chests Duplicate contained Map Fragments","Heist Chests Duplicate contained Map Fragments"
"Heist Chests Duplicate contained Oils","Heist Chests Duplicate contained Oils"
"Heist Chests duplicate contained Sextants","Heist Chests duplicate contained Sextants"
"Heist Chests Duplicated contained Catalysts","Heist Chests Duplicated contained Catalysts"
"Heist Chests have a {0} chance to contain more valuable Uniques","Heist Chests have a {0} chance to contain more valuable Uniques"
"Heist Chests have a {0} chance to Duplicate contained Basic Currency","Heist Chests have a {0} chance to Duplicate contained Basic Currency"
"Heist Chests have a {0} chance to Duplicate contained Breach Splinters","Heist Chests have a {0} chance to Duplicate contained Breach Splinters"
"Heist Chests have a {0} chance to Duplicate contained Currency","Heist Chests have a {0} chance to Duplicate contained Currency"
"Heist Chests have a {0} chance to Duplicate contained Divination Cards","Heist Chests have a {0} chance to Duplicate contained Divination Cards"
"Heist Chests have a {0} chance to Duplicate contained Jewels","Heist Chests have a {0} chance to Duplicate contained Jewels"
"Heist Chests have a {0} chance to Duplicate contained Map Fragments","Heist Chests have a {0} chance to Duplicate contained Map Fragments"
"Heist Chests have a {0} chance to Duplicate contained Oils","Heist Chests have a {0} chance to Duplicate contained Oils"
"Heist Chests have a {0} chance to Duplicate contained Sextants","Heist Chests have a {0} chance to Duplicate contained Sextants"
"Herald of Agony has {0} increased Buff Effect","Herald of Agony has {0} increased Buff Effect"
"Herald of Agony has {0} reduced Buff Effect","Herald of Agony has {0} reduced Buff Effect"
"Herald of Agony has {0}% increased Buff Effect","고통의 전령 버프 효과 {0}% 증가"
"Herald of Agony has {0}% reduced Buff Effect","고통의 전령 버프 효과 {0}% 감소"
"Herald of Ash has {0} increased Buff Effect","Herald of Ash has {0} increased Buff Effect"
"Herald of Ash has {0} reduced Buff Effect","Herald of Ash has {0} reduced Buff Effect"
"Herald of Ash has {0}% increased Buff Effect","재의 전령 버프 효과 {0}% 증가"
"Herald of Ash has {0}% reduced Buff Effect","재의 전령 버프 효과 {0}% 감소"
"Herald of Ice has {0} increased Buff Effect","Herald of Ice has {0} increased Buff Effect"
"Herald of Ice has {0} reduced Buff Effect","Herald of Ice has {0} reduced Buff Effect"
"Herald of Ice has {0}% increased Buff Effect","얼음의 전령 버프 효과 {0}% 증가"
"Herald of Ice has {0}% reduced Buff Effect","얼음의 전령 버프 효과 {0}% 감소"
"Herald of Purity has {0} increased Buff Effect","Herald of Purity has {0} increased Buff Effect"
"Herald of Purity has {0} reduced Buff Effect","Herald of Purity has {0} reduced Buff Effect"
"Herald of Purity has {0}% increased Buff Effect","순수의 전령 버프 효과 {0}% 증가"
"Herald of Purity has {0}% reduced Buff Effect","순수의 전령 버프 효과 {0}% 감소"
"Herald of Thunder also creates a storm when you Shock an Enemy","Herald of Thunder also creates a storm when you Shock an Enemy"
"Herald of Thunder has {0} increased Mana Reservation","Herald of Thunder has {0} increased Mana Reservation"
"Herald of Thunder has {0} reduced Mana Reservation","Herald of Thunder has {0} reduced Mana Reservation"
"Herald of Thunder has {0}% increased Mana Reservation","천둥의 전령의 마나 점유 {0}% 증가"
"Herald of Thunder has {0}% reduced Mana Reservation","천둥의 전령의 마나 점유 {0}% 감소"
"Herald of Thunder's Storms Hit Enemies with {0} reduced Frequency","Herald of Thunder's Storms Hit Enemies with {0} reduced Frequency"
"Herald of Thunder's Storms Hit Enemies with {0}% reduced Frequency","Herald of Thunder's Storms Hit Enemies with {0}% reduced Frequency"
"Herald Skills deal {0} increased Damage over Time","전령 스킬로 주는 지속 피해 {0} 증가"
"Herald Skills deal {0} reduced Damage over Time","Herald Skills deal {0} reduced Damage over Time"
"Herald Skills deal {0}% increased Damage over Time","전령 스킬로 주는 지속 피해 {0}% 증가"
"Herald Skills deal {0}% reduced Damage over Time","Herald Skills deal {0}% reduced Damage over Time"
"Herald Skills have {0} reduced Area of Effect","Herald Skills have {0} reduced Area of Effect"
"Herald Skills have {0}% reduced Area of Effect","Herald Skills have {0}% reduced Area of Effect"
"Hex Reflection","Hex Reflection"
"Hex Skills have 80% increased Skill Effect Duration","사술 스킬의 스킬 효과 지속시간 80% 증가"
"Hex Skills have {0} reduced Skill Effect Duration","Hex Skills have {0} reduced Skill Effect Duration"
"Hexblast deals {0} reduced Damage","Hexblast deals {0} reduced Damage"
"Hexblast has {0} increased Area of Effect","Hexblast has {0} increased Area of Effect"
"Hexes applied by Socketed Curse Skills are Reflected back to you","Hexes applied by Socketed Curse Skills are Reflected back to you"
"Hexes applied this way do not gain Doom over time","이로 인해 걸린 사술은 지속적으로 멸망을 획득하지 않음."
"Hexes from Socketed Skills ignore Curse Limit","Hexes from Socketed Skills ignore Curse Limit"
"Hexes have {0} reduced Doom gain rate","Hexes have {0} reduced Doom gain rate"
"Hexes on Slain Enemies are transferred to {0} nearby Enemies","Hexes on Slain Enemies are transferred to {0} nearby Enemies"
"Hexes you inflict have {0} Doom","자신이 유발하는 사술의 멸망 {0}"
"Hexes you inflict have their Effect increased by twice their Doom instead","Hexes you inflict have their Effect increased by twice their Doom instead"
"Hinder Enemies on Hit with Spells, with {0} reduced Movement Speed","Hinder Enemies on Hit with Spells, with {0} reduced Movement Speed"
"Hinder Enemies on Hit, with {0} reduced Movement Speed","Hinder Enemies on Hit, with {0} reduced Movement Speed"
"Hindered Enemies deal {0} increased Chaos Damage","Hindered Enemies deal {0} increased Chaos Damage"
"Hindered Enemies take {0} increased Chaos Damage","Hindered Enemies take {0} increased Chaos Damage"
"Historic","역사적인 순간"
"Hits after the first on each Enemy deal {0} less Damage","Hits after the first on each Enemy deal {0} less Damage"
"Hits against Cursed Enemies have {0} chance to double Stun Duration","Hits against Cursed Enemies have {0} chance to double Stun Duration"
"Hits against Cursed Enemies have {0} chance to Ignite","Hits against Cursed Enemies have {0} chance to Ignite"
"Hits against Cursed Enemies have {0} to Critical Strike Chance","Hits against Cursed Enemies have {0} to Critical Strike Chance"
"Hits against Cursed Enemies have {0}% to Critical Strike Chance","Hits against Cursed Enemies have {0}% to Critical Strike Chance"
"Hits against Enemies Unnerved by you have {0} reduced Spell Critical Strike Chance","Hits against Enemies Unnerved by you have {0} reduced Spell Critical Strike Chance"
"Hits against Enemies Unnerved by you have {0}% reduced Spell Critical Strike Chance","Hits against Enemies Unnerved by you have {0}% reduced Spell Critical Strike Chance"
"Hits against Nearby Enemies have {0} reduced Critical Strike Chance","근접한 적 타격 시 치명타 확률 {0} 감소"
"Hits against Nearby Enemies have {0}% reduced Critical Strike Chance","Hits against Nearby Enemies have {0}% reduced Critical Strike Chance"
"Hits Enemies every {0} Seconds","{0}초마다 적 명중"
"Hits from Supported Skills Overwhelm {0} of Physical Damage Reduction while you have Fortify","Hits from Supported Skills Overwhelm {0} of Physical Damage Reduction while you have Fortify"
"Hits have {0} increased Critical Strike Chance against you","Hits have {0} increased Critical Strike Chance against you"
"Hits have {0}% additional Critical Strike Chance against you","Hits have {0}% additional Critical Strike Chance against you"
"Hits have {0}% reduced Critical Strike Chance against you","플레이어가 치명타를 당할 확률 {0}% 감소"
"Hits ignore Enemy Fire Resistance","적 화염 저항을 무시하는 타격을 가함"
"Hits ignore Enemy Monster Chaos Resistance if all Equipped Items are Elder Items","Hits ignore Enemy Monster Chaos Resistance if all Equipped Items are Elder Items"
"Hits ignore Enemy Monster Fire Resistance while you are Ignited","점화 상태에서 적 몬스터의 화염 저항을 무시하는 타격을 가함"
"Hits on Cursed Enemies have an additional {0}% chance to Knockback","저주받은 적 명중 시 밀어내기 확률이 {0}% 추가"
"Hits Overwhelm {0} of Physical Damage Reduction while you have Sacrificial Zeal","Hits Overwhelm {0} of Physical Damage Reduction while you have Sacrificial Zeal"
"Hits up to {0} additional enemies near the target","표적에 근접한 최대 {0}명의 적을 추가 타격"
"Hits with Supported Skills for which the highest Damage Type is Elemental cause you to gain 25 Resonance of other Elements per second for 2 seconds","Hits with Supported Skills for which the highest Damage Type is Elemental cause you to gain 25 Resonance of other Elements per second for 2 seconds"
"Hits with this Weapon can't be Evaded if you have Blocked Recently","최근에 막아낸 경우 이 무기의 타격이 항상 명중함"
"Hits with this Weapon deal {0} increased Damage to Ignited Enemies","Hits with this Weapon deal {0} increased Damage to Ignited Enemies"
"Hits with this Weapon deal {0} reduced Damage to Frozen Enemies","Hits with this Weapon deal {0} reduced Damage to Frozen Enemies"
"Hits with this Weapon deal {0} reduced Damage to Shocked Enemies","Hits with this Weapon deal {0} reduced Damage to Shocked Enemies"
"Hits with this Weapon deal {0}% increased Damage to Ignited Enemies","이 무기로 타격 시 점화된 적에게 주는 피해 {0}% 증가"
"Hits with this Weapon deal {0}% reduced Damage to Frozen Enemies","이 무기로 타격 시 동결된 적에게 주는 피해 {0}% 감소"
"Hits with this Weapon deal {0}% reduced Damage to Shocked Enemies","이 무기로 타격 시 감전된 적에게 주는 피해 {0}% 감소"
"Hits with this Weapon gain {0}% of Physical Damage as Extra Cold or Lightning Damage","Hits with this Weapon gain {0}% of Physical Damage as Extra Cold or Lightning Damage"
"Hits with this Weapon have Culling Strike if you have dealt a Critical Strike Recently","최근에 치명타를 준 경우 이 무기로 타격 시 마무리 타격"
"Hits with this Weapon Overwhelm {0}% Physical Damage Reduction","Hits with this Weapon Overwhelm {0}% Physical Damage Reduction"
"Holy Flame Totem deals {0} reduced Damage","Holy Flame Totem deals {0} reduced Damage"
"Holy Flame Totem deals {0}% reduced Damage","신성한 화염 토템이 주는 피해 {0}% 감소"
"Holy Flame Totem fires an additional Projectile","신성한 화염 토템이 투사체를 추가 발사"
"Holy Flame Totem has {0} reduced Projectile Speed","Holy Flame Totem has {0} reduced Projectile Speed"
"Holy Flame Totem has {0}% reduced Projectile Speed","신성한 화염 토템의 투사체 속도 {0}% 감소"
"Holy Relic's Nova Skill grants {0} Life regenerated per second to Minions","신성한 유물의 폭발 스킬이 매초 {0}만큼의 소환수의 생명력을 재생시킴"
"Hydrosphere deals {0} reduced Damage","Hydrosphere deals {0} reduced Damage"
"Hydrosphere has {0} reduced Pulse Frequency","Hydrosphere has {0} reduced Pulse Frequency"
"Ice Golems deal {0} reduced Damage","Ice Golems deal {0} reduced Damage"
"Ice Golems deal {0}% reduced Damage","얼음 골렘이 주는 피해 {0}% 감소"
"Ice Nova has {0} chance to Freeze","Ice Nova has {0} chance to Freeze"
"Ice Shot has {0} increased Area of Effect angle","Ice Shot has {0} increased Area of Effect angle"
"Ice Shot has {0}% increased Area of Effect angle","Ice Shot has {0}% increased Area of Effect angle"
"Ice Shot Pierces {0} additional Targets","얼음 화살이 표적 {0}개를 추가 관통"
"Ice Spear fires {0} additional Projectiles","얼음 창이 투사체 {0}개를 추가 발사"
"Ice Spear travels {0} increased distance before changing forms","Ice Spear travels {0} increased distance before changing forms"
"Ice Spear travels {0}% increased distance before changing forms","얼음 창의 형태 변경 전 이동 거리 {0}% 증가"
"Ice Spears on Death","사망 시 얼음 창"
"Ice Trap Damage Penetrates {0}% Cold Resistance","얼음 덫 피해가 {0}%의 냉기 저항 관통"
"Ice Trap has {0} reduced Cooldown Recovery Rate","Ice Trap has {0} reduced Cooldown Recovery Rate"
"Icicle Mine deals {0} reduced Damage","Icicle Mine deals {0} reduced Damage"
"Icicle Mine deals {0}% reduced Damage","Icicle Mine deals {0}% reduced Damage"
"Icicle Mine has {0} reduced Throwing Speed","Icicle Mine has {0} reduced Throwing Speed"
"Icicle Mine has {0}% increased Throwing Speed","Icicle Mine has {0}% increased Throwing Speed"
"Icicle Mine has {0}% to Critical Strike Multiplier","Icicle Mine has {0}% to Critical Strike Multiplier"
"If a skill deals at least {0}% Fire Damage, it leeches {1}% of damage dealt as Energy Shield","If a skill deals at least {0}% Fire Damage, it leeches {1}% of damage dealt as Energy Shield"
"If at least {0} Dexterity is Allocated in Radius, gain {1}% of Physical Damage as Extra Chaos Damage","If at least {0} Dexterity is Allocated in Radius, gain {1}% of Physical Damage as Extra Chaos Damage"
"If at least {0} Strength is Allocated in Radius, {1}% increased Life Recovery rate","If at least {0} Strength is Allocated in Radius, {1}% increased Life Recovery rate"
"If this Skill Ignites an Enemy, it also inflicts a Burning Debuff","이 스킬로 적을 점화할 경우 화상 디버프를 추가로 부여"
"If you Consumed a corpse Recently, you and nearby Allies Regenerate {0} of Life per second","If you Consumed a corpse Recently, you and nearby Allies Regenerate {0} of Life per second"
"If you have Blocked Recently, you and nearby Allies Regenerate {0} of Life per second","If you have Blocked Recently, you and nearby Allies Regenerate {0} of Life per second"
"If you have no Steel Shards, only Fires 1 Projectile","If you have no Steel Shards, only Fires 1 Projectile"
"If you've Attacked Recently, you","최근 4초 이내 공격한 경우 자신 및"
"If you've Blocked in the past 10 seconds, you","지난 10초 이내에 막아낸 경우"
"and nearby Allies have +10% Chance to Block Spell Damage","주변 동료들의 주문 피해 막기 확률 +10%"
"If you've Consumed a corpse Recently, you and your Minions have {0} reduced Area of Effect","최근 4초 이내 시신을 소모한 경우 자신과 소환수의 효과 범위 {0} 감소"
"If you've Consumed a corpse Recently, you and your Minions have {0}% reduced Area of Effect","최근 4초 이내 시신을 소모한 경우 자신과 소환수의 효과 범위 {0}% 감소"
"If you've Hit an Enemy Recently, you and nearby Allies Regenerate {0}% of Life per second","최근에 적을 타격한 경우 자신 및 근접한 동료들이 초당 생명력의 {0}% 재생"
"If you've used a Skill Recently, you and nearby Allies have Tailwind","최근에 스킬을 사용한 경우, 자신 및 근접한 동료들이 순풍 획득"
"If you've Warcried Recently, you and nearby allies deal {0} increased Damage","If you've Warcried Recently, you and nearby allies deal {0} increased Damage"
"If you've Warcried Recently, you and nearby allies have {0} increased Attack, Cast and Movement Speed","If you've Warcried Recently, you and nearby allies have {0} increased Attack, Cast and Movement Speed"
"Ignite on Cursed enemies has {0} increased Duration","Ignite on Cursed enemies has {0} increased Duration"
"Ignite on Cursed enemies has {0}% increased Duration","저주받은 적을 {0}% 증가한 지속시간 동안 점화"
"Ignited Enemies Burn {0} slower","Ignited Enemies Burn {0} slower"
"Ignited Enemies you hit are destroyed on Kill","점화시킨 적이 사망 시 폭발"
"Ignites caused by Supported Skills spread to other Enemies within a Radius of {0}","보조 대상 스킬로 발생한 점화가 {0} 반경 이내에 있는 다른 적에게 확산"
"Ignites caused by this Skill spread to other nearby Enemies","이 스킬로 발생한 점화가 근접한 다른 적에게 확산"
"Ignites from Supported Skills deal Damage {0} slower","Ignites from Supported Skills deal Damage {0} slower"
"Ignites you inflict deal Damage {0} faster","플레이어가 유발한 점화가 피해 {0} 가속"
"Ignites you inflict deal Damage {0}% faster","플레이어가 유발한 점화가 피해 {0}% 가속"
"Ignites you inflict spread to other Enemies within a Radius of 15","Ignites you inflict spread to other Enemies within a Radius of 15"
"Ignites you inflict with Attacks deal Damage {0}% faster","플레이어의 공격으로 유발된 점화가 피해를 {0}% 더 빠르게 줌"
"Ignores Summoning Towers","Ignores Summoning Towers"
"Illusion moves at {0}% of your Movement Speed","환상이 플레이어 이동 속도의 {0}%로 이동"
"Immortal Call Grants {0} less Elemental Damage taken per Endurance Charge removed","Immortal Call Grants {0} less Elemental Damage taken per Endurance Charge removed"
"Immortal Call has {0} decreased Buff Duration per Endurance Charge removed","Immortal Call has {0} decreased Buff Duration per Endurance Charge removed"
"Immortal Call has {0}% decreased Buff Duration per Endurance Charge removed","제거된 인내 충전 하나당 불멸의 외침 버프 지속시간 {0}% 감소"
"Immortal Call increases Duration without removing Endurance Charges","인내 충전 제거 없이 불멸의 외침 지속시간 증가"
"Immune to Chill","Immune to Chill"
"Immune to Curses during Flask effect","플라스크 효과를 받는 동안 저주에 면역"
"Immune to Curses while Channelling","집중 유지하는 동안 저주에 면역"
"Immune to Elemental Ailments during any Flask Effect","플라스크 효과를 받는 동안 원소 상태 이상에 면역"
"Immune to Elemental Ailments while on Consecrated Ground","신성화 지대에 있는 동안 원소 상태 이상에 면역"
"Immune to Elemental Ailments while Phasing","차원 능력을 사용하는 동안 원소 상태 이상에 면역"
"Immune to Fire Damage","화염 피해에 면역"
"Immune to Freeze while affected by Purity of Ice","얼음의 순수함의 영향을 받는 동안 동결에 면역"
"Immune to Ignite","점화에 면역"
"Immune to Ignite while affected by Purity of Fire","불의 순수함의 영향을 받는 동안 점화에 면역"
"Immune to Poison","중독에 면역"
"Immune to Shock","감전에 면역"
"Immunity to Bleeding during Flask effect","플라스크 효과를 받는 동안 출혈에 면역"
"Immunity to Ignite during Flask effect","Immunity to Ignite during Flask effect"
"Impale Damage dealt to Enemies Impaled by Minions Overwhelms {0} Physical Damage Reduction","Impale Damage dealt to Enemies Impaled by Minions Overwhelms {0} Physical Damage Reduction"
"Impale Damage dealt to Enemies Impaled by Supported Skills Overwhelms {0} Physical Damage Reduction","Impale Damage dealt to Enemies Impaled by Supported Skills Overwhelms {0} Physical Damage Reduction"
"Impale Damage dealt to Enemies Impaled by this Skill or Minions Overwhelms {0} Physical Damage Reduction","Impale Damage dealt to Enemies Impaled by this Skill or Minions Overwhelms {0} Physical Damage Reduction"
"Impale Damage dealt to Enemies Impaled by this Skill Overwhelms {0} Physical Damage Reduction","Impale Damage dealt to Enemies Impaled by this Skill Overwhelms {0} Physical Damage Reduction"
"Impale Damage dealt to Enemies Impaled by you Overwhelms {0} Physical Damage Reduction","Impale Damage dealt to Enemies Impaled by you Overwhelms {0} Physical Damage Reduction"
"Impale Enemies on Hit","명중 시 적을 꿰뚫음"
"Impale Enemies on Hit with Attacks while using Pride","자부심을 사용하는 동안 공격 명중 시 적을 꿰뚫음"
"Impales you inflict last {0} additional Hits","플레이어가 부여한 꿰뚫기 효과가 {0}회 추가로 적중할 동안 유지됨"
"Impales you inflict last 1 additional Hit","플레이어가 부여한 꿰뚫기 효과가 1회 추가로 적중할 동안 유지됨"
"Implicit Modifier magnitudes are tripled","고정 속성 부여 규모 3배 증가"
"Imprisoned Monsters deal {0} increased Damage","Imprisoned Monsters deal {0} increased Damage"
"Imprisoned Monsters deal {0}% increased Damage","갇힌 몬스터가 주는 피해 {0}% 증가"
"Imprisoned Monsters have {0} additional Essences","갇힌 몬스터가 에센스 {0}개를 추가로 보유"
"Imprisoned Monsters have {0} reduced Action Speed","Imprisoned Monsters have {0} reduced Action Speed"
"Imprisoned Monsters have {0}% reduced Action Speed","갇힌 몬스터의 동작 속도 {0}% 감소"
"Imprisoned Monsters take {0} increased Damage","Imprisoned Monsters take {0} increased Damage"
"In Heists Chaos Orbs drop as Blessed Orbs instead","In Heists Chaos Orbs drop as Blessed Orbs instead"
"In Heists Chaos Orbs drop as Exalted Orbs instead","In Heists Chaos Orbs drop as Exalted Orbs instead"
"In Heists Chromatic Orbs drop as Orbs of Fusing instead","In Heists Chromatic Orbs drop as Orbs of Fusing instead"
"In Heists Orbs of Alchemy drop as Blessed Orbs instead","In Heists Orbs of Alchemy drop as Blessed Orbs instead"
"In Heists Orbs of Alchemy drop as Exalted Orbs instead","In Heists Orbs of Alchemy drop as Exalted Orbs instead"
"In Heists Orbs of Alteration drop as Orbs of Alchemy instead","In Heists Orbs of Alteration drop as Orbs of Alchemy instead"
"In Heists Orbs of Augmentation drop as Chaos Orbs instead","In Heists Orbs of Augmentation drop as Chaos Orbs instead"
"In Heists Orbs of Augmentation drop as Regal Orbs instead","In Heists Orbs of Augmentation drop as Regal Orbs instead"
"In Heists Orbs of Scouring drop as Orbs of Annulment instead","In Heists Orbs of Scouring drop as Orbs of Annulment instead"
"In Heists Orbs of Transmutation drop as Chaos Orbs instead","In Heists Orbs of Transmutation drop as Chaos Orbs instead"
"In Heists Orbs of Transmutation drop as Regal Orbs instead","In Heists Orbs of Transmutation drop as Regal Orbs instead"
"In Heists Regal Orbs drop as Divine Orbs instead","In Heists Regal Orbs drop as Divine Orbs instead"
"Incinerate has {0} increased Area of Effect","Incinerate has {0} increased Area of Effect"
"Incinerate has {0} to maximum stages","소각의 단계 최대치 {0}"
"Incinerate has {0}% reduced Area of Effect","소각의 효과 범위 {0}% 감소"
"Increase Attack, Cast and Movement Speed by {0}% every second during Flask Effect","플라스크 효과를 받는 동안 초마다 공격, 시전 및 이동 속도 {0}% 증가"
"Increases and Reductions to Cast Speed also apply to Projectile Frequency","시전 속도 증가 및 감소가 투사체 빈도에도 적용"
"Increases and Reductions to Cast Speed also Apply to Trap Throwing Speed","시전 속도 증가 및 감소가 덫 투척 속도에도 적용"
"Increases and Reductions to Cast Speed apply to Attack Speed at {0}% of their value","시전 속도 증가 및 감소가 해당 값의 {0}%만큼 공격 속도에도 적용"
"Increases and Reductions to Damage of Vaal Skills also apply to Non-Vaal Skills","바알 스킬 피해의 증가 및 감소가 비 바알 스킬에도 적용"
"Increases and Reductions to Energy Shield in Radius are Transformed to apply to Armour at {0} of their value","Increases and Reductions to Energy Shield in Radius are Transformed to apply to Armour at {0} of their value"
"Increases and Reductions to Life in Radius are Transformed to apply to Energy Shield","반경 내 생명력 증가 및 감소가 변형되어 에너지 보호막에 적용"
"Increases and Reductions to Life in Radius are Transformed to apply to Mana at {0}% of their value","Increases and Reductions to Life in Radius are Transformed to apply to Mana at {0}% of their value"
"Increases and Reductions to Light Radius also apply to Area of Effect","빛 반경 증가 및 감소가 효과 범위에도 적용"
"Increases and Reductions to Light Radius also apply to Area of Effect at {0}% of their value","시야 반경 증가 및 감소가 해당 값의 {0}%만큼 효과 범위에도 적용"
"Increases and Reductions to Light Radius also apply to this Skill's Area of Effect","빛 반경 증가 및 감소가 이 스킬의 효과 범위에도 적용"
"Increases and Reductions to Minion Attack Speed also affect you","소환수 공격 속도 증가 및 감소 효과가 자신에게도 적용"
"Increases and Reductions to Minion Damage also affect you at {0} of their value","Increases and Reductions to Minion Damage also affect you at {0} of their value"
"Increases and Reductions to other Damage Types in Radius are Transformed to apply to Fire Damage","반경 내 기타 피해 유형의 증가 및 감소가 변형되어 화염 피해에 적용"
"Increases and Reductions to Spell Damage also apply to Attack Damage from this Skill","주문 피해에 적용된 증가 및 감소 수치를 이 스킬로 인한 공격 피해에도 적용"
"Increases and Reductions to Spell Damage also apply to Attack Damage from this Skill at {0}% of their value","주문 피해에 적용된 증가 및 감소 값의 {0}%만큼 이 스킬로 인한 공격 피해에도 적용"
"Increases and Reductions to Spell Damage also apply to Attacks at {0} of their value","Increases and Reductions to Spell Damage also apply to Attacks at {0} of their value"
"Increases and Reductions to Spell Damage also apply to Attacks at {0}% of their value","Increases and Reductions to Spell Damage also apply to Attacks at {0}% of their value"
"Increases and Reductions to Spell Damage also apply to Attacks while wielding a Wand","마법봉 장착 시 주문 피해에 적용되는 증가 및 감소 수치를 공격에도 적용"
"Infernal Blow Debuff deals an additional {0} of Damage per Charge","Infernal Blow Debuff deals an additional {0} of Damage per Charge"
"Infernal Blow Explosion applies Uncharged Debuff on Hit","Infernal Blow Explosion applies Uncharged Debuff on Hit"
"Infernal Cry has {0} increased Cooldown Recovery Rate","Infernal Cry has {0} increased Cooldown Recovery Rate"
"Inflict Brittle on Enemies when you Block their Damage","Inflict Brittle on Enemies when you Block their Damage"
"Inflict Cold Exposure on Hit if you have at least 150 Devotion","헌신이 150 이상인 경우 명중 시 냉기 노출 유발"
"Inflict Fire Exposure on Hit if you have at least 150 Devotion","헌신이 150 이상인 경우 명중 시 화염 노출 유발"
"Inflict Lightning Exposure on Hit if you have at least 150 Devotion","헌신이 150 이상인 경우 명중 시 번개 노출 유발"
"Inflict non-Damaging Ailments as though dealing {0} more Damage","비-피해 상태 이상 효과를 {0} 증폭된 피해를 준 것처럼 부여"
"Inflict non-Damaging Ailments as though dealing {0}% more Damage","비-피해 상태 이상 효과를 {0}% 증폭된 피해를 준 것처럼 부여"
"Inflict Withered for 2 seconds on Hit","명중 시 2초 동안 위축 유발"
"Inflict Withered for two seconds on Hit if there are 5 or fewer Withered Debuffs on Enemy","Inflict Withered for two seconds on Hit if there are 5 or fewer Withered Debuffs on Enemy"
"Inflicts {0} Withered Debuffs the first time each Enemy enters the Area","처음으로 범위 내에 들어온 적 하나당 {0}개의 위축 디버프 부여"
"Inflicts a random Level {0} Curse on you when your Totems die","자신의 토템이 죽으면 무작위로 {0}레벨 저주 유발"
"Inflicts Spider's Webs and Hinder every {0} Seconds","{0}초마다 거미줄 및 방해 유발"
"Infusion grants {0} less Chaos Damage","Infusion grants {0} less Chaos Damage"
