"Life Regen","생명력 재생"
"Players are Cursed with Frostbite","플레이어가 동상 저주를 받음"
"Players are Cursed with Projectile Weakness","플레이어가 투사체 약화 저주를 받음"
"Players are Cursed with Silence","플레이어가 침묵 저주를 받음"
"Players have a random Curse on them every 10 seconds","플레이어가 10초마다 무작위 저주를 받음"
"Players have {0}% more Recovery Rate of Life and Energy Shield","플레이어의 생명력 및 에너지 보호막 회복 속도 {0}% 증폭"
"Players have {0}% less Recovery Rate of Life and Energy Shield","플레이어의 생명력 및 에너지 보호막 회복 속도 {0}% 감폭"
"Players have {0}% increased Movement Speed","플레이어의 이동 속도 {0}% 증가"
"Players have a {0}% chance to gain Onslaught on Kill For {1} seconds","플레이어가 적 처치 시 {1}초 동안 맹공을 획득할 확률 {0}%"
"{0}% increased Duration of Shrine Effects on Players","플레이어에게 적용되는 성소 효과 지속시간 {0}% 증가"
"Players have {0}% chance to Dodge Spell Hits","플레이어의 주문 타격을 완벼 완벽회피할 확률 {0}%"
"Players and Monsters take {0}% increased Chaos Damage","플레이어와 몬스터가 받는 카오스 피해 {0}% 증가"
"Players and Monsters take {0}% reduced Chaos Damage","플레이어와 몬스터가 받는 카오스 피해 {0}% 감소"
"Players and Monsters take {0}% increased Cold Damage","플레이어와 몬스터가 받는 냉기 피해 {0}% 증가"
"Players and Monsters take {0}% reduced Cold Damage","플레이어와 몬스터가 받는 냉기 피해 {0}% 감소"
"Players and Monsters have {0}% increased Critical Strike Chance","플레이어와 몬스터의 치명타 확률 {0}% 증가"
"Players and Monsters have {0}% reduced Critical Strike Chance","플레이어와 몬스터의 치명타 확률 {0}% 감소"
"Player's and Monster's Curses are Reflected","플레이어와 몬스터의 저주가 반사됨"
"Players and Monsters have {0}% increased Damage per Curse on them","플레이어와 몬스터에게 걸린 저주당 피해 {0}% 증가"
"Players and Monsters have {0}% reduced Damage per Curse on them","플레이어와 몬스터에게 걸린 저주당 피해 {0}% 감소"
"Players and Monsters take {0}% increased Damage while stationary","정지 상태에서 플레이어와 몬스터가 받는 피해 {0}% 증가"
"Players and Monsters take {0}% increased Fire Damage","플레이어와 몬스터가 받는 화염 피해 {0}% 증가"
"Players and Monsters take {0}% reduced Fire Damage","플레이어와 몬스터가 받는 화염 피해 {0}% 감소"
"Players and Monsters have Onslaught if they have been Hit Recently","최근에 피격된 경우 플레이어와 몬스터가 맹공 보유"
"Players and Monsters have Resolute Technique","플레이어와 몬스터가 확고한 기술 보유"
"Players and Monsters take {0}% increased Lightning Damage","플레이어와 몬스터가 받는 번개 피해 {0}% 증가"
"Players and Monsters take {0}% reduced Lightning Damage","플레이어와 몬스터가 받는 번개 피해 {0}% 감소"
"{0}% increased Player and Monster Movement Speed","플레이어와 몬스터의 이동 속도 {0}% 증가"
"Players and Monsters take {0}% increased Physical Damage","플레이어와 몬스터가 받는 물리 피해 {0}% 증가"
"Players and Monsters take {0}% reduced Physical Damage","플레이어와 몬스터가 받는 물리 피해 {0}% 감소"
"Players are Poisoned while moving","플레이어가 이동 상태에서 중독됨"
"Players have {0}% more Armour","플레이어의 방어도 {0}% 증폭"
"Players have {0}% less Armour","플레이어의 방어도 {0}% 감폭"
"Players have {0}% increased Chance to Block","플레이어의 막기 확률 {0}% 증가"
"Players have {0}% reduced Chance to Block","플레이어의 막기 확률 {0}% 감소"
"Players cannot gain Endurance Charges","플레이어가 인내 충전 획득 불가"
"Players cannot gain Frenzy Charges","플레이어가 격분 충전 획득 불가"
"Players cannot gain Power Charges","플레이어가 권능 충전 획득 불가"
"Players cannot take Reflected Damage","플레이어가 반사 피해를 받을 수 없음"
"Player chance to Dodge is Lucky","플레이어의 완벽회피 확률에 행운 적용"
"Player chance to Dodge is Unlucky","플레이어의 완벽회피 확률에 불운 적용"
"Players gain a Random Mod from Slain Rare Monsters for {0} seconds","플레이어가 {0}초 동안 희귀 몬스터 처치 시 속성 부여 획득"
"Strongboxes grant Onslaught for {0} seconds when opened","금고가 열리면 {0}초 동안 맹공 적용"
"Players have Onslaught while using Flasks","플라스크를 사용하는 동안 플레이어가 맹공 획득"
"When a Player Kills a Rare Monster, they have {0}% chance to gain its Modifiers for {1} seconds","플레이어가 희귀 몬스터 처치 시 {1}초 동안 해당 몬스터의 속성 부여 획득 확률 {0}%"
"Players have Point Blank","플레이어가 근접 사격 보유"
"Players have {0}% increased Cooldown Recovery Speed for Movement Skills","플레이어 이동 스킬의 재사용 대기시간 회복 속도 {0}% 증가"
"Players have {0}% reduced Movement Speed","플레이어의 이동 속도 {0}% 감소"
"Players cannot Regenerate Life, Mana or Energy Shield","플레이어가 생명력, 마나 또는 에너지 보호막 재생 불가"
"Players have {0}% more Area of Effect","플레이어의 효과 범위 {0}% 증폭"
"Players have {0}% less Area of Effect","플레이어의 효과 범위 {0}% 감폭"
"Map Portals do not expire","지도 포탈이 만료되지 않음"
"{0}% increased Rampage Streak Duration","광란 질주 지속시간 {0}% 증가"
"{0}% reduced Rampage Streak Duration","광란 질주 지속시간 {0}% 감소"
"If this Area contains any Unique Monsters, one is Possessed","지역에 고유 몬스터가 등장하는 경우, 한 마리는 사로잡힌 상태"
"Rare Monsters from Breaches have a {0}% chance to Drop a Breach Ring","균열의 희귀 몬스터가 균열 반지를 떨어뜨릴 확률 {0}%"
"Rare Breach Monsters drop an additional Splinter","희귀 균열 몬스터가 균열 파편을 추가로 떨어뜨림"
"Rare Breach Monsters drop {0} additional Splinters","희귀 균열 몬스터가 균열 파편 {0}개를 추가로 떨어뜨림"
"Rare Monsters are Hindered, with {0}% increased Movement Speed","희귀 몬스터가 방해 상태가 되어 이동 속도 {0}% 증가"
"Rare Monsters are Hindered, with {0}% reduced Movement Speed","희귀 몬스터가 방해 상태가 되어 이동 속도 {0}% 감소"
"Rare Monsters have {0}% chance to drop a Rare Prismatic Ring","희귀 몬스터가 희귀 분광 반지를 떨어뜨릴 확률 {0}%"
"Rare Monsters drop a Rare Prismatic Ring","희귀 몬스터가 희귀 분광 반지를 떨어뜨림"
"Rare Monsters drop an additional Rare Item","희귀 몬스터가 희귀 아이템을 추가로 떨어뜨림"
"Rare Monsters drop {0} additional Rare Items","희귀 몬스터가 희귀 아이템 {0}개를 추가로 떨어뜨림"
"Rare Monsters have Inner Treasure in addition to their other Modifiers","희귀 몬스터가 다른 속성 부여에 추가로 보물 소지 보유"
"Rogue Exiles have {0}% increased Attack, Cast and Movement Speed","탈주 유배자의 공격, 시전 및 이동 속도 {0}% 증가"
"Rogue Exiles each drop a Skill Gem with Quality","각 탈주 유배자가 퀄리티 스킬 젬을 떨어뜨림"
"Rogue Exiles each have a Rogue Exile ally","각 탈주 유배자에게 탈주 유배자 동료가 있음"
"Rogue Exiles deal {0}% increased Damage","탈주 유배자가 주는 피해 {0}% 증가"
"Rogue Exiles deal {0}% reduced Damage","탈주 유배자가 주는 피해 {0}% 감소"
"Rogue Exiles drop {0} additional Currency Items","탈주 유배자가 화폐 아이템 {0}개를 추가로 떨어뜨림"
"Rogue Exiles drop an additional Jewel","탈주 유배자가 주얼을 추가로 떨어뜨림"
"Rogue Exiles drop {0} additional Jewels","탈주 유배자가 주얼 {0}개를 추가로 떨어뜨림"
"Items dropped by Rogue Exiles are Corrupted","탈주 유배자가 타락한 아이템을 떨어뜨림"
"Items dropped by Rogue Exiles are Mirrored","탈주 유배자가 복제된 아이템을 떨어뜨림"
"Items dropped by Rogue Exiles are fully Linked","탈주 유배자가 완전히 연결된 아이템을 떨어뜨림"
"Rogue Exiles have {0}% increased Maximum Life","탈주 유배자의 최대 생명력 {0}% 증가"
"Rogue Exiles have {0}% reduced Maximum Life","탈주 유배자의 최대 생명력 {0}% 감소"
"{0}% more Rare Shaper Items found in Area","지역에서 발견되는 희귀 쉐이퍼 아이템 {0}% 증폭"
"Shrines drop a Currency Item when used","사용 시 성소에서 화폐 아이템이 추가로 떨어짐"
"Shrines drop {0} Currency Items when used","사용 시 성소에서 화폐 아이템 {0}개가 추가로 떨어짐"
"Shrines grant a random additional Shrine Effect","성소에서 추가 성소 효과를 무작위로 획득"
"Areas can contain Abysses","지역에 심연 등장 가능"
"Areas contain Beasts to hunt","지역에 사냥할 야수 등장"
"Unique Monsters from Beyond have a {0}% chance to Summon another Unique Monster from Beyond when Slain","이계의 고유 몬스터 처치 시 다른 이계 고유 몬스터를 소환할 확률 {0}%"
"Unique Monsters from Beyond will Summon another Unique Monster from Beyond when Slain","이계의 고유 몬스터 처치 시 다른 고유 이계 몬스터를 소환"
"Area has a {0}% chance to contain Cadiro Perandus","지역에 카디로 페란두스가 등장할 확률 {0}%"
"Area contains Cadiro Perandus","지역에 카디로 페란두스 등장"
"Area contains an additional Perandus Chest","지역에 페란두스 상자 추가 등장"
"Area contains {0} additional Perandus Chests","지역에 페란두스 상자 {0}개 추가 등장"
"Areas contain Temporal Incursions","지역에 시간의 기습 등장"
"Tempest Effects have {0}% increased Area of Effect","폭풍 효과의 효과 범위 {0}% 증가"
"Tempest Effects have {0}% reduced Area of Effect","폭풍 효과의 효과 범위 {0}% 감소"
"Strongbox contents are Mirrored","금고에 복제된 내용물이 들어있음"
"Strongbox Monsters have {0}% increased Item Quantity","금고 몬스터가 보유한 아이템 수량 {0}% 증가"
"Strongbox Monsters have {0}% reduced Item Quantity","금고 몬스터가 보유한 아이템 수량 {0}% 감소"
"Strongboxes in Area are Corrupted","지역에 있는 금고가 타락함"
"Strongboxes each contain an additional random Rare Item","각 금고에 무작위 희귀 아이템이 추가 포함"
"Strongboxes each contain {0} additional random Rare Items","각 금고에 무작위 희귀 아이템 {0}개가 추가 포함"
"Strongboxes in Area are at least Magic Rarity","지역에 있는 금고 희귀도가 마법 이상"
"Strongboxes in Area are at least Rare Rarity","지역에 있는 금고 희귀도가 희귀 이상"
"Strongboxes in Area are at least Unique Rarity","지역에 있는 금고 희귀도가 고유 이상"
"Areas contain Memory Fragments","지역에 기억의 조각 등장"
"Area contains {0} additional Abyss Bone Chest Clusters","지역에 심연 뼈 상자 무더기 {0}개 추가 등장"
"Area contains {0} additional Bloodworm Chest Clusters","지역에 피지렁이 상자 무더기 {0}개 추가 등장"
"Area contains {0} additional Fungal Chest Clusters","지역에 곰팡이 상자 무더기 {0}개 추가 등장"
"Area contains {0} additional Synthesised Chest which contains Magic Monsters","지역에 마법 몬스터를 포함하는 결합물 상자 {0}개 추가 등장"
"Area contains {0} additional Synthesised Chests which contain Magic Monsters","지역에 마법 몬스터를 포함하는 결합물 상자 {0}개 추가 등장"
"Area contains {0} additional Synthesised Chest which contains Normal Monsters","지역에 일반 몬스터를 포함하는 결합물 상자 {0}개 추가 등장"
"Area contains {0} additional Synthesised Chests which contain Normal Monsters","지역에 일반 몬스터를 포함하는 결합물 상자 {0}개 추가 등장"
"Area contains {0} additional Parasitic Chest Clusters","지역에 기생 상자 무더기 {0}개 추가 등장"
"Area contains {0} additional Synthesised Chest which contains Rare Monsters","지역에 희귀 몬스터를 포함하는 결합물 상자 {0}개 추가 등장"
"Area contains {0} additional Synthesised Chests which contain Rare Monsters","지역에 희귀 몬스터를 포함하는 결합물 상자 {0}개 추가 등장"
"Area contains {0} additional Explosive Chest Clusters","지역에 폭발물 상자 무더기 {0}개 추가 등장"
"Area contains {0} additional Wealthy Barrel Clusters","지역에 부유한 통 무더기 {0}개 등장"
"Synthesised Magic Monsters have {0}% chance to drop a Breach Splinter","결합 마법 몬스터가 균열 파편을 떨어뜨릴 확률 {0}%"
"Synthesised Magic Monsters drop a Breach Splinter","결합 마법 몬스터가 균열 파편을 떨어뜨림"
"Synthesised Magic Monsters have {0}% chance to drop a Currency Item","결합 마법 몬스터가 화폐 아이템을 떨어뜨릴 확률 {0}%"
"Synthesised Magic Monsters drop a Currency Item","결합 마법 몬스터가 화폐 아이템을 떨어뜨림"
"Synthesised Magic Monsters have {0}% chance to drop a Currency Shard","결합 마법 몬스터가 화폐 파편을 떨어뜨릴 확률 {0}%"
"Synthesised Magic Monsters drop a Currency Shard","결합 마법 몬스터가 화폐 파편을 떨어뜨림"
"Synthesised Magic Monsters have {0}% chance to drop a Divination Card","결합 마법 몬스터가 점술 카드 한 장을 떨어뜨릴 확률 {0}%"
"Synthesised Magic Monsters drop a Divination Card","결합 마법 몬스터가 점술 카드 한 장을 떨어뜨림"
"Synthesised Magic Monsters have {0}% chance to drop an Elder Item","결합 마법 몬스터가 엘더 아이템을 떨어뜨릴 확률 {0}%"
"Synthesised Magic Monsters drop an Elder Item","결합 마법 몬스터가 엘더 아이템을 떨어뜨림"
"Synthesised Magic Monsters have {0}% chance to drop a Fossil","결합 마법 몬스터가 화석을 떨어뜨릴 확률 {0}%"
"Synthesised Magic Monsters drop a Fossil","결합 마법 몬스터가 화석을 떨어뜨림"
"Synthesised Magic Monsters have {0}% chance to drop a Quality Currency Item","결합 마법 몬스터가 퀄리티 화폐 아이템을 떨어뜨릴 확률 {0}%"
"Synthesised Magic Monsters drop a Quality Currency Item","결합 마법 몬스터가 퀄리티 화폐 아이템을 떨어뜨림"
"Synthesised Magic Monsters have {0}% chance to drop a Shaper Item","결합 마법 몬스터가 쉐이퍼 아이템을 떨어뜨릴 확률 {0}%"
"Synthesised Magic Monsters drop a Shaper Item","결합 마법 몬스터가 쉐이퍼 아이템을 떨어뜨림"
"Synthesised Magic Monsters drop an additional Currency Item","결합 마법 몬스터가 화폐 아이템을 추가로 떨어뜨림"
"Synthesised Magic Monsters drop {0} additional Currency Items","결합 마법 몬스터가 화폐 아이템 {0}개를 추가로 떨어뜨림"
"Synthesised Magic Monsters drop an additional Currency Shard","결합 마법 몬스터가 화폐 파편을 추가로 떨어뜨림"
"Synthesised Magic Monsters drop {0} additional Currency Shards","결합 마법 몬스터가 화폐 파편 {0}개를 추가로 떨어뜨림"
"Synthesised Magic Monsters drop an additional Quality Currency Item","결합 마법 몬스터가 퀄리티 화폐 아이템을 추가로 떨어뜨림"
"Synthesised Magic Monsters drop {0} additional Quality Currency Items","결합 마법 몬스터가 퀄리티 화폐 아이템 {0}개를 추가로 떨어뜨림"
"{0}% increased Quantity of Items Dropped by Synthesised Magic Monsters","결합 마법 몬스터가 떨어뜨리는 아이템 수량 {0}% 증가"
"{0}% increased Rarity of Items Dropped by Synthesised Magic Monsters","결합 마법 몬스터가 떨어뜨리는 아이템 희귀도 {0}% 증가"
"Synthesised Magic Monsters have {0}% increased chance to drop a Fractured Item","결합 마법 몬스터가 분열된 아이템을 떨어뜨릴 확률 {0}% 증가"
"Items dropped by Synthesised Magic Monsters have {0}% chance to be Corrupted","결합 마법 몬스터가 떨어뜨린 아이템이 타락한 아이템일 확률 {0}%"
"Items dropped by Synthesised Magic Monsters are Corrupted","결합 마법 몬스터가 타락한 아이템을 떨어뜨림"
"Synthesised Magic Monsters have {0}% increased chance to drop a Map","결합 마법 몬스터가 지도를 떨어뜨릴 확률 {0}% 증가"
"Synthesised Magic Monsters grant {0}% increased Experience","결합 마법 몬스터가 {0}% 증가한 경험치를 줌"
"Synthesised Magic Monsters have {0}% increased chance to drop a Unique Item","결합 마법 몬스터가 고유 아이템을 떨어뜨릴 확률 {0}% 증가"
"Synthesised Monsters have {0}% chance to drop a Breach Splinter","결합 몬스터가 균열 파편을 떨어뜨릴 확률 {0}%"
"Synthesised Monsters drop a Breach Splinter","결합 몬스터가 균열 파편을 떨어뜨림"
"Synthesised Monsters have {0}% chance to drop a Currency Item","결합 몬스터가 화폐 아이템을 떨어뜨릴 확률 {0}%"
"Synthesised Monsters drop a Currency Item","결합 몬스터가 화폐 아이템을 떨어뜨림"
"Synthesised Monsters have {0}% chance to drop a Currency Shard","결합 몬스터가 화폐 파편을 떨어뜨릴 확률 {0}%"
"Synthesised Monsters drop a Currency Shard","결합 몬스터가 화폐 파편을 떨어뜨림"
"Synthesised Monsters have {0}% chance to drop a Divination Card","결합 몬스터가 점술 카드를 떨어뜨릴 확률 {0}%"
"Synthesised Monsters drop a Divination Card","결합 몬스터가 점술 카드를 떨어뜨림"
"Synthesised Monsters have {0}% chance to drop an Elder Item","결합 몬스터가 엘더 아이템을 떨어뜨릴 확률 {0}%"
"Synthesised Monsters drop an Elder Item","결합 몬스터가 엘더 아이템을 떨어뜨림"
"Synthesised Monsters have {0}% chance to drop a Fossil","결합 몬스터가 화석을 떨어뜨릴 확률 {0}%"
"Synthesised Monsters drop a Fossil","결합 몬스터가 화석을 떨어뜨림"
"Synthesised Monsters have {0}% chance to drop a Quality Currency Item","결합 몬스터가 퀄리티 화폐 아이템을 떨어뜨릴 확률 {0}%"
"Synthesised Monsters drop a Quality Currency Item","결합 몬스터가 퀄리티 화폐 아이템을 떨어뜨림"
"Synthesised Monsters have {0}% chance to drop a Shaper Item","결합 몬스터가 쉐이퍼 아이템을 떨어뜨릴 확률 {0}%"
"Synthesised Monsters drop a Shaper Item","결합 몬스터가 쉐이퍼 아이템을 떨어뜨림"
"{0}% increased Quantity of Items Dropped by Synthesised Monsters","결합 몬스터가 떨어뜨리는 아이템 수량 {0}% 증가"
"{0}% increased Rarity of Items Dropped by Synthesised Monsters","결합 몬스터가 떨어뜨리는 아이템 희귀도 {0}% 증가"
"Synthesised Monsters have {0}% increased chance to drop a Fractured Item","결합 몬스터가 분열된 아이템을 떨어뜨릴 확률 {0}% 증가"
"Items dropped by Synthesised Monsters have {0}% chance to be Corrupted","결합 몬스터가 떨어뜨린 아이템이 타락한 아이템일 확률 {0}%"
"Items dropped by Synthesised Monsters are Corrupted","결합 몬스터가 타락한 아이템을 떨어뜨림"
"Synthesised Monsters have {0}% increased chance to drop a Map","결합 몬스터가 지도를 떨어뜨릴 확률 {0}% 증가"
"{0}% increased Size of Synthesised Monster Packs","결합 몬스터 무리 크기 {0}% 증가"
"Synthesised Monsters grant {0}% increased Experience","결합 몬스터가 주는 경험치 {0}% 증가"
"Synthesised Monsters have {0}% increased chance to drop a Unique Item","결합 몬스터가 고유 아이템을 떨어뜨릴 확률 {0}% 증가"
"Synthesised Rare Monsters have {0}% chance to drop an Abyss Jewel","결합 희귀 몬스터가 심연 주얼을 떨어뜨릴 확률 {0}%"
"Synthesised Rare Monsters drop an Abyss Jewel","결합 희귀 몬스터가 심연 주얼을 떨어뜨림"
"Synthesised Rare Monsters have {0}% chance to drop a Breach Splinter","결합 희귀 몬스터가 균열 파편을 떨어뜨릴 확률 {0}%"
"Synthesised Rare Monsters drop a Breach Splinter","결합 희귀 몬스터가 균열 파편을 떨어뜨림"
"Synthesised Rare Monsters have {0}% chance to drop a Currency Item","결합 희귀 몬스터가 화폐 아이템을 떨어뜨릴 확률 {0}%"
"Synthesised Rare Monsters drop a Currency Item","결합 희귀 몬스터가 화폐 아이템을 떨어뜨림"
"Synthesised Rare Monsters drop an additional Currency Shard","결합 희귀 몬스터가 화폐 파편을 추가로 떨어뜨림"
"Synthesised Rare Monsters drop {0} additional Currency Shards","결합 희귀 몬스터가 화폐 파편 {0}개를 추가로 떨어뜨림"
"Synthesised Rare Monsters have {0}% chance to drop a Divination Card","결합 희귀 몬스터가 점술 카드를 떨어뜨릴 확률 {0}%"
"Synthesised Rare Monsters drop a Divination Card","결합 희귀 몬스터가 점술 카드를 떨어뜨림"
"Synthesised Rare Monsters have {0}% chance to drop an Elder Item","결합 희귀 몬스터가 엘더 아이템을 떨어뜨릴 확률 {0}%"
"Synthesised Rare Monsters drop an Elder Item","결합 희귀 몬스터가 엘더 아이템을 떨어뜨림"
"Synthesised Rare Monsters have {0}% chance to drop an Essence","결합 희귀 몬스터가 에센스를 떨어뜨릴 확률 {0}%"
"Synthesised Rare Monsters drop an Essence","결합 희귀 몬스터가 에센스를 떨어뜨림"
"Synthesised Rare Monsters have {0}% chance to drop a Fossil","결합 희귀 몬스터가 화석을 떨어뜨릴 확률 {0}%"
"Synthesised Rare Monsters drop a Fossil","결합 희귀 몬스터가 화석을 떨어뜨림"
"Synthesised Rare Monsters have {0}% chance to drop a Jewel","결합 희귀 몬스터가 주얼을 떨어뜨릴 확률 {0}%"
"Synthesised Rare Monsters drop a Jewel","결합 희귀 몬스터가 주얼을 떨어뜨림"
"Synthesised Rare Monsters have {0}% chance to drop a Map","결합 희귀 몬스터가 지도를 떨어뜨릴 확률 {0}%"
"Synthesised Rare Monsters drop a Map","결합 희귀 몬스터가 지도를 떨어뜨림"
"Synthesised Rare Monsters have {0}% chance to drop a Quality Currency Item","결합 희귀 몬스터가 퀄리티 화폐 아이템을 떨어뜨릴 확률 {0}%"
"Synthesised Rare Monsters drop a Quality Currency Item","결합 희귀 몬스터가 퀄리티 화폐 아이템을 떨어뜨림"
"Synthesised Rare Monsters have {0}% chance to drop a Shaper Item","결합 희귀 몬스터가 쉐이퍼 아이템을 떨어뜨릴 확률 {0}%"
"Synthesised Rare Monsters drop a Shaper Item","결합 희귀 몬스터가 쉐이퍼 아이템을 떨어뜨림"
"Synthesised Rare Monsters have {0}% chance to drop a Talisman","결합 희귀 몬스터가 부적을 떨어뜨릴 확률 {0}%"
"Synthesised Rare Monsters drop a Talisman","결합 희귀 몬스터가 부적을 떨어뜨림"
"Synthesised Rare Monsters have {0}% chance to drop a Vaal Fragment","결합 희귀 몬스터가 바알 조각을 떨어뜨릴 확률 {0}%"
"Synthesised Rare Monsters drop a Vaal Fragment","결합 희귀 몬스터가 바알 조각을 떨어뜨림"
"Synthesised Rare Monsters have {0}% chance to drop a Veiled Item","결합 희귀 몬스터가 장막 아이템을 떨어뜨릴 확률 {0}%"
"Synthesised Rare Monsters drop a Veiled Item","결합 희귀 몬스터가 장막 아이템을 떨어뜨림"
"Synthesised Rare Monsters drop an additional Breach Splinter","결합 희귀 몬스터가 균열 파편을 추가로 떨어뜨림"
"Synthesised Rare Monsters drop {0} additional Breach Splinters","결합 희귀 몬스터가 균열 파편 {0}개를 추가로 떨어뜨림"
"Synthesised Rare Monsters drop an additional Currency Item","결합 희귀 몬스터가 화폐 아이템을 추가로 떨어뜨림"
"Synthesised Rare Monsters drop {0} additional Currency Items","결합 희귀 몬스터가 화폐 아이템 {0}개를 추가로 떨어뜨림"
"Synthesised Rare Monsters drop an additional Quality Currency Item","결합 희귀 몬스터가 퀄리티 화폐 아이템을 추가로 떨어뜨림"
"Synthesised Rare Monsters drop {0} additional Quality Currency Items","결합 희귀 몬스터가 퀄리티 화폐 아이템 {0}개를 추가로 떨어뜨림"
"{0}% increased Quantity of Items Dropped by Synthesised Rare Monsters","결합 희귀 몬스터가 떨어뜨리는 아이템 수량 {0}% 증가"
"{0}% increased Rarity of Items Dropped by Synthesised Rare Monsters","결합 희귀 몬스터가 떨어뜨리는 아이템 희귀도 {0}% 증가"
"Synthesised Rare Monsters have {0}% increased chance to drop a Fractured Item","결합 희귀 몬스터가 분열된 아이템을 떨어뜨릴 확률 {0}% 증가"
"When a Player Kills a Synthesised Rare Monster, they have {0}% chance to gain its Modifiers for {1} seconds","플레이어가 결합 희귀 몬스터 처치 시 {1}초 동안 해당 몬스터의 속성 부여 획득 확률 {0}%"
"Items dropped by Synthesised Rare Monsters have {0}% chance to be Corrupted","결합 희귀 몬스터가 떨어뜨린 아이템이 타락한 아이템일 확률 {0}%"
"Items dropped by Synthesised Rare Monsters are Corrupted","결합 희귀 몬스터가 타락한 아이템을 떨어뜨림"
"Synthesised Rare Monsters have {0}% increased chance to drop a Map","결합 희귀 몬스터가 지도를 떨어뜨릴 확률 {0}% 증가"
"Synthesised Rare Monsters have a {0}% chance to resurrect as an Ally when slain","처치한 결합 희귀 몬스터가 동료로 부활할 확률 {0}%"
"Synthesised Rare Monsters are resurrected as an Ally when slain","처치한 결합 희귀 몬스터가 동료로 부활"
"Synthesised Rare Monsters grant {0}% increased Experience","결합 희귀 몬스터가 주는 경험치 {0}% 증가"
"Synthesised Rare Monsters have {0}% increased chance to drop a Unique Item","결합 희귀 몬스터가 고유 아이템을 떨어뜨릴 확률 {0}% 증가"
"Talismans found in this Area are Rare","이 지역에서는 희귀한 부적이 발견됨"
"Talismans found in this Area are {0} Tiers higher","이 지역에서는 {0}등급 이상의 부적이 발견됨"
"{0}% increased frequency of Tempest effects","폭풍 효과 빈도 {0}% 증가"
"{0}% reduced frequency of Tempest effects","폭풍 효과 빈도 {0}% 감소"
"Tormented Spirits drop {0} additional Rare Items","고통받는 혼백이 희귀 아이템 {0}개를 추가로 떨어뜨림"
"Tormented Spirits have {0}% increased Duration","고통받는 혼백의 지속시간 {0}% 증가"
"Tormented Spirits have {0}% reduced Duration","고통받는 혼백의 지속시간 {0}% 감소"
"Tormented Spirits have {0}% increased Movement Speed","고통받는 혼백의 이동 속도 {0}% 증가"
"Tormented Spirits have {0}% reduced Movement Speed","고통받는 혼백의 이동 속도 {0}% 감소"
"Unique Boss drops divination cards","고유 보스가 점술 카드를 떨어뜨림"
"{0}% more Unique Items found in Area","지역에서 발견되는 고유 아이템 {0}% 증폭"
"Unique Monsters drop Corrupted Items","고유 몬스터가 타락한 아이템을 떨어뜨림"
"{0}% chance for Packs to be upgraded to Magic","몬스터 무리가 마법 등급으로 업그레이드될 확률 {0}%"
"{0}% chance for Packs to be upgraded to Rare","몬스터 무리가 희귀 등급으로 업그레이드될 확률 {0}%"
"{0}% chance for Synthesised Packs to be upgraded to Magic","결합 몬스터 무리가 마법 등급으로 업그레이드될 확률 {0}%"
"{0}% chance for Synthesised Packs to be upgraded to Rare","결합 몬스터 무리가 희귀 등급으로 업그레이드될 확률 {0}%"
"Items dropped by Corrupted Vaal Monsters have {0}% chance to be Corrupted","타락한 바알 몬스터가 떨어뜨린 아이템이 타락한 아이템일 확률 {0}%"
"Items dropped by Corrupted Vaal Monsters are Corrupted","타락한 바알 몬스터가 타락한 아이템을 떨어뜨림"
"Area has {0}% chance to contain Gifts of the Red Queen per Mortal Fragment used","사용한 필멸의 조각 하나당 지역에 붉은 여왕의 선물이 등장할 확률 {0}%"
"Area has {0}% chance to contain Gifts of the Sacrificed per Sacrifice Fragment used","사용한 희생의 조각 하나당 지역에 희생자의 선물이 등장할 확률 {0}%"
"Warbands in the Area have an additional Elite Member","지역 내 군벌에 정예병 1명 추가"
"Warbands in the Area have {0} additional Elites Members","지역 내 군벌에 정예병 {0}명 추가"
"Warbands in this Area have an additional Member","지역 내 군벌에 병력 1명 추가"
"Warbands in this Area have {0} additional Members","지역 내 군벌에 병력 {0}명 추가"
"Warbands in the Area have an additional Support Member","지역 내 군벌에 지원병 1명 추가"
"Warbands in the Area have {0} additional Support Members","지역 내 군벌에 지원병 {0}명 추가"
"Adds {0} maximum Lightning Damage per {1} Intelligence","지능 {1}당 최대 번개 피해 {0}% 추가"
"{0} to Maximum Blitz Charges","최대 공세 충전 {0}"
"{0} to Maximum Challenger Charges","최대 도전자 충전 {0}"
"Your Maximum Endurance Charges is equal to your Maximum Frenzy Charges","인내 충전 최대치가 격분 충전 최대치와 동일"
"{0}% increased Energy Shield from Body Armour","갑옷에서 얻는 에너지 보호막 {0}% 증가"
"Maximum total Recovery per second from Life Leech is doubled","생명력 흡수 시 초당 최대 총 회복량 두 배"
"{0}% increased Maximum total Recovery per second from Life Leech if you've taken a Savage Hit Recently","최근 4초 이내 야만적인 타격을 받은 경우 생명력 흡수의 최대 총 회복량 1초마다 {0}% 증가"
"{0}% reduced Maximum total Recovery per second from Life Leech if you've taken a Savage Hit Recently","최근에 야만적인 타격을 받은 경우 생명력 흡수의 초당 최대 총 회복량 {0}% 감소"
"{0} to Maximum Life per {1} Dexterity","민첩 {1}당 최대 생명력 {0}"
"Gain {0}% of Maximum Life as Extra Armour","최대 생명력의 {0}%를 추가 방어도로 획득"
"Gain {0}% of Maximum Life as Extra Maximum Energy Shield","최대 생명력의 {0}%를 에너지 보호막 최대치로 추가 획득"
"{0}% of Maximum Life Converted to Energy Shield","최대 생명력의 {0}%를 에너지 보호막으로 전환"
