"# of Rampage Kills:","광란의 적 처치 횟수:"
"Ailment calculation mode:","질병 계산 방법:"
"Phantasmal Searing Bond","몽환적인 불타는 굴레"
"Anomalous Second Wind","기묘한 새로운 활력 보조"
"Divergent Second Wind","상이한 새로운 활력 보조"
"Anomalous Seismic Cry","기묘한 지진 함성"
"Divergent Seismic Cry","상이한 지진 함성"
"Phantasmal Seismic Cry","몽환적인 지진 함성"
"Anomalous Seismic Trap","기묘한 지진 덫"
"Divergent Seismic Trap","상이한 지진 덫"
"Phantasmal Seismic Trap","몽환적인 지진 덫"
"Anomalous Shattering Steel","기묘한 강철 파편"
"Divergent Shattering Steel","상이한 강철 파편"
"Phantasmal Shattering Steel","몽환적인 강철 파편"
"Anomalous Shield Charge","기묘한 방패 돌진"
"Divergent Shield Charge","상이한 방패 돌진"
"Anomalous Shock Nova","기묘한 충격 폭발"
"Divergent Shock Nova","상이한 충격 폭발"
"Anomalous Shockwave","기묘한 충격파 보조"
"Divergent Shockwave","상이한 충격파 보조"
"Anomalous Shockwave Totem","기묘한 충격파 토템"
"Divergent Shockwave Totem","상이한 충격파 토템"
"Phantasmal Shockwave Totem","몽환적인 충격파 토템"
"Anomalous Shrapnel Ballista","기묘한 파편 쇠뇌"
"Divergent Shrapnel Ballista","상이한 파편 쇠뇌"
"Phantasmal Shrapnel Ballista","몽환적인 파편 쇠뇌"
"Anomalous Siege Ballista","기묘한 공성 쇠뇌"
"Divergent Siege Ballista","상이한 공성 쇠뇌"
"Phantasmal Siege Ballista","몽환적인 공성 쇠뇌"
"Anomalous Sigil of Power","기묘한 힘의 부적"
"Divergent Sigil of Power","상이한 힘의 부적"
"Phantasmal Sigil of Power","몽환적인 힘의 부적"
"Anomalous Siphoning Trap","기묘한 착취 덫"
"Divergent Siphoning Trap","상이한 착취 덫"
"Phantasmal Siphoning Trap","몽환적인 착취 덫"
"Anomalous Slower Projectiles","기묘한 투사체 감속 보조"
"Divergent Slower Projectiles","상이한 투사체 감속 보조"
"Anomalous Smite","기묘한 강타"
"Divergent Smite","상이한 강타"
"Phantasmal Smite","몽환적인 강타"
"Anomalous Smoke Mine","기묘한 연막 지뢰"
"Divergent Smoke Mine","상이한 연막 지뢰"
"Anomalous Sniper's Mark","기묘한 저격수의 징표"
"Divergent Sniper's Mark","상이한 저격수의 징표"
"Anomalous Soulrend","기묘한 영혼 분리"
"Divergent Soulrend","상이한 영혼 분리"
"Phantasmal Soulrend","몽환적인 영혼 분리"
"Anomalous Spark","기묘한 전기불꽃"
"Divergent Spark","상이한 전기불꽃"
"Phantasmal Spark","몽환적인 전기불꽃"
"Anomalous Spectral Shield Throw","기묘한 환영 방패 투척"
"Divergent Spectral Shield Throw","상이한 환영 방패 투척"
"Phantasmal Spectral Shield Throw","몽환적인 환영 방패 투척"
"Anomalous Spectral Throw","기묘한 환영 무기 투척"
"Divergent Spectral Throw","상이한 환영 무기 투척"
"Anomalous Spell Cascade","기묘한 연속 주문 보조"
"Divergent Spell Cascade","상이한 연속 주문 보조"
"Anomalous Spell Echo","기묘한 주문 메아리 보조"
"Divergent Spell Echo","상이한 주문 메아리 보조"
"Anomalous Spell Totem","기묘한 주문 토템 보조"
"Divergent Spell Totem","상이한 주문 토템 보조"
"Anomalous Spellslinger","기묘한 주문투척"
"Divergent Spellslinger","상이한 주문투척"
"Anomalous Spirit Offering","기묘한 영혼 공물"
"Divergent Spirit Offering","상이한 영혼 공물"
"Anomalous Split Arrow","기묘한 분할 화살"
"Divergent Split Arrow","상이한 분할 화살"
"Anomalous Splitting Steel","기묘한 강철 분할"
"Divergent Splitting Steel","상이한 강철 분할"
"Phantasmal Splitting Steel","몽환적인 강철 분할"
"Anomalous Static Strike","기묘한 정전기 타격"
"Divergent Static Strike","상이한 정전기 타격"
"Phantasmal Static Strike","몽환적인 정전기 타격"
"Anomalous Steelskin","기묘한 강철피부"
"Divergent Steelskin","상이한 강철피부"
"Anomalous Storm Brand","기묘한 폭풍의 낙인"
"Divergent Storm Brand","상이한 폭풍의 낙인"
"Phantasmal Storm Brand","몽환적인 폭풍의 낙인"
"Anomalous Storm Burst","기묘한 폭풍 점사"
"Divergent Storm Burst","상이한 폭풍 점사"
"Anomalous Storm Call","기묘한 폭풍 부름"
"Divergent Storm Call","상이한 폭풍 부름"
"Phantasmal Storm Call","몽환적인 폭풍 부름"
"Anomalous Stormbind","기묘한 폭풍연대"
"Divergent Stormbind","상이한 폭풍연대"
"Phantasmal Stormbind","몽환적인 폭풍연대"
"Anomalous Stormblast Mine","기묘한 태풍 파열 지뢰"
"Divergent Stormblast Mine","상이한 태풍 파열 지뢰"
"Phantasmal Stormblast Mine","몽환적인 태풍 파열 지뢰"
"Anomalous Stun","기묘한 기절 보조"
"Divergent Stun","상이한 기절 보조"
"Anomalous Summon Carrion Golem","기묘한 부패 골렘 소환"
"Divergent Summon Carrion Golem","상이한 부패 골렘 소환"
"Anomalous Summon Chaos Golem","기묘한 카오스 골렘 소환"
"Divergent Summon Chaos Golem","상이한 카오스 골렘 소환"
"Anomalous Summon Flame Golem","기묘한 화염 골렘 소환"
"Divergent Summon Flame Golem","상이한 화염 골렘 소환"
"Anomalous Summon Holy Relic","기묘한 신성한 유물 소환"
"Divergent Summon Holy Relic","상이한 신성한 유물 소환"
"Anomalous Summon Ice Golem","기묘한 얼음 골렘 소환"
"Divergent Summon Ice Golem","상이한 얼음 골렘 소환"
"Anomalous Summon Lightning Golem","기묘한 번개 골렘 소환"
"Divergent Summon Lightning Golem","상이한 번개 골렘 소환"
"Anomalous Summon Phantasm","기묘한 환영 소환 보조"
"Divergent Summon Phantasm","상이한 환영 소환 보조"
"Anomalous Summon Raging Spirit","기묘한 격노의 유령 소환"
"Divergent Summon Raging Spirit","상이한 격노의 유령 소환"
"Phantasmal Summon Raging Spirit","몽환적인 격노의 유령 소환"
"Anomalous Summon Skeletons","기묘한 해골 소환"
"Divergent Summon Skeletons","상이한 해골 소환"
"Phantasmal Summon Skeletons","몽환적인 해골 소환"
"Anomalous Summon Skitterbots","기묘한 원격 기폭 장치 소환"
"Divergent Summon Skitterbots","상이한 원격 기폭 장치 소환"
"Anomalous Summon Stone Golem","기묘한 돌 골렘 소환"
"Divergent Summon Stone Golem","상이한 돌 골렘 소환"
"Anomalous Sunder","기묘한 산산조각"
"Divergent Sunder","상이한 산산조각"
"Phantasmal Sunder","몽환적인 산산조각"
"Anomalous Sweep","기묘한 휩쓸기"
"Divergent Sweep","상이한 휩쓸기"
"Phantasmal Sweep","몽환적인 휩쓸기"
"Anomalous Swift Affliction","기묘한 고통 격화 보조"
"Divergent Swift Affliction","상이한 고통 격화 보조"
"Anomalous Swift Assembly","기묘한 재빠른 조립 보조"
"Divergent Swift Assembly","상이한 재빠른 조립 보조"
"Anomalous Swiftbrand","기묘한 재빠른 낙인 보조"
"Divergent Swiftbrand","상이한 재빠른 낙인 보조"
"Anomalous Tectonic Slam","기묘한 지층 강타"
"Divergent Tectonic Slam","상이한 지층 강타"
"Phantasmal Tectonic Slam","몽환적인 지층 강타"
"Anomalous Tempest Shield","기묘한 폭풍의 방패"
"Divergent Tempest Shield","상이한 폭풍의 방패"
"Anomalous Temporal Chains","기묘한 시간의 사슬"
"Divergent Temporal Chains","상이한 시간의 사슬"
"Anomalous Tornado Shot","기묘한 회오리 사격"
"Divergent Tornado Shot","상이한 회오리 사격"
"Anomalous Toxic Rain","기묘한 맹독성 비"
"Divergent Toxic Rain","상이한 맹독성 비"
"Phantasmal Toxic Rain","몽환적인 맹독성 비"
"Anomalous Trap","기묘한 덫 보조"
"Divergent Trap","상이한 덫 보조"
"Anomalous Trap and Mine Damage","기묘한 덫 및 지뢰 피해 보조"
"Divergent Trap and Mine Damage","상이한 덫 및 지뢰 피해 보조"
"Anomalous Trinity","기묘한 삼위일체 보조"
"Divergent Trinity","상이한 삼위일체 보조"
"Anomalous Unbound Ailments","기묘한 벌어지는 상처 보조"
"Divergent Unbound Ailments","상이한 벌어지는 상처 보조"
"Anomalous Unearth","기묘한 발굴"
"Divergent Unearth","상이한 발굴"
"Phantasmal Unearth","몽환적인 발굴"
"Anomalous Unleash","기묘한 촉발 보조"
"Divergent Unleash","상이한 촉발 보조"
"Anomalous Urgent Orders","기묘한 긴급 명령 보조"
"Divergent Urgent Orders","상이한 긴급 명령 보조"
"Anomalous Vaal Ancestral Warchief","기묘한 바알 선대 대전사"
"Divergent Vaal Ancestral Warchief","상이한 바알 선대 대전사"
"Phantasmal Vaal Ancestral Warchief","몽환적인 바알 선대 대전사"
"Anomalous Vaal Arc","기묘한 바알 연쇄 번개"
"Divergent Vaal Arc","상이한 바알 연쇄 번개"
"Phantasmal Vaal Arc","몽환적인 바알 연쇄 번개"
"Anomalous Vaal Blade Vortex","기묘한 바알 칼날 소용돌이"
"Divergent Vaal Blade Vortex","상이한 바알 칼날 소용돌이"
"Phantasmal Vaal Blade Vortex","몽환적인 바알 칼날 소용돌이"
"Anomalous Vaal Blight","기묘한 바알 황폐"
"Divergent Vaal Blight","상이한 바알 황폐"
"Anomalous Vaal Breach","기묘한 바알 균열"
"Anomalous Vaal Burning Arrow","기묘한 바알 불타는 화살"
"Divergent Vaal Burning Arrow","상이한 바알 불타는 화살"
"Anomalous Vaal Clarity","기묘한 바알 명상"
"Divergent Vaal Clarity","상이한 바알 명상"
"Anomalous Vaal Cold Snap","기묘한 바알 한파"
"Divergent Vaal Cold Snap","상이한 바알 한파"
"Anomalous Vaal Cyclone","기묘한 바알 회오리바람"
"Divergent Vaal Cyclone","상이한 바알 회오리바람"
"Phantasmal Vaal Cyclone","몽환적인 바알 회오리바람"
"Anomalous Vaal Detonate Dead","기묘한 바알 시체 폭발"
"Divergent Vaal Detonate Dead","상이한 바알 시체 폭발"
"Anomalous Vaal Discipline","기묘한 바알 단련"
"Divergent Vaal Discipline","상이한 바알 단련"
"Anomalous Vaal Double Strike","기묘한 바알 이중 타격"
"Divergent Vaal Double Strike","상이한 바알 이중 타격"
"Anomalous Vaal Earthquake","기묘한 바알 지진"
"Divergent Vaal Earthquake","상이한 바알 지진"
"Phantasmal Vaal Earthquake","몽환적인 바알 지진"
"Anomalous Vaal Fireball","기묘한 바알 화염구"
"Divergent Vaal Fireball","상이한 바알 화염구"
"Phantasmal Vaal Fireball","몽환적인 바알 화염구"
"Anomalous Vaal Flameblast","기묘한 바알 화염파"
"Divergent Vaal Flameblast","상이한 바알 화염파"
"Phantasmal Vaal Flameblast","몽환적인 바알 화염파"
"Anomalous Vaal Glacial Hammer","기묘한 바알 빙하 망치"
"Divergent Vaal Glacial Hammer","상이한 바알 빙하 망치"
"Anomalous Vaal Grace","기묘한 바알 은총"
"Divergent Vaal Grace","상이한 바알 은총"
"Anomalous Vaal Ground Slam","기묘한 바알 대지 강타"
"Divergent Vaal Ground Slam","상이한 바알 대지 강타"
"Anomalous Vaal Haste","기묘한 바알 가속"
"Divergent Vaal Haste","상이한 바알 가속"
"Phantasmal Vaal Haste","몽환적인 바알 가속"
"Anomalous Vaal Ice Nova","기묘한 바알 얼음 폭발"
"Divergent Vaal Ice Nova","상이한 바알 얼음 폭발"
"Phantasmal Vaal Ice Nova","몽환적인 바알 얼음 폭발"
"Anomalous Vaal Immortal Call","기묘한 바알 불멸의 외침"
"Divergent Vaal Immortal Call","상이한 바알 불멸의 외침"
"Anomalous Vaal Impurity of Fire","기묘한 바알 불의 부정함"
"Divergent Vaal Impurity of Fire","상이한 바알 불의 부정함"
"Anomalous Vaal Impurity of Ice","기묘한 바알 얼음의 부정함"
"Divergent Vaal Impurity of Ice","상이한 바알 얼음의 부정함"
"Anomalous Vaal Impurity of Lightning","기묘한 바알 번개의 부정함"
"Divergent Vaal Impurity of Lightning","상이한 바알 번개의 부정함"
"Anomalous Vaal Lightning Strike","기묘한 바알 번개 타격"
"Divergent Vaal Lightning Strike","상이한 바알 번개 타격"
"Phantasmal Vaal Lightning Strike","몽환적인 바알 번개 타격"
"Anomalous Vaal Lightning Trap","기묘한 바알 번개 덫"
"Divergent Vaal Lightning Trap","상이한 바알 번개 덫"
"Anomalous Vaal Lightning Warp","기묘한 바알 번개 차원 이동"
"Divergent Vaal Lightning Warp","상이한 바알 번개 차원 이동"
"Phantasmal Vaal Lightning Warp","몽환적인 바알 번개 차원 이동"
"Anomalous Vaal Molten Shell","기묘한 바알 용암 방패"
"Divergent Vaal Molten Shell","상이한 바알 용암 방패"
"Anomalous Vaal Power Siphon","기묘한 바알 권능 착취"
"Divergent Vaal Power Siphon","상이한 바알 권능 착취"
"Anomalous Vaal Rain of Arrows","기묘한 바알 화살비"
"Divergent Vaal Rain of Arrows","상이한 바알 화살비"
"Phantasmal Vaal Rain of Arrows","몽환적인 바알 화살비"
"Anomalous Vaal Reave","기묘한 바알 약탈"
"Divergent Vaal Reave","상이한 바알 약탈"
"Phantasmal Vaal Reave","몽환적인 바알 약탈"
"Anomalous Vaal Righteous Fire","기묘한 바알 정의의 화염"
"Divergent Vaal Righteous Fire","상이한 바알 정의의 화염"
"Anomalous Vaal Spark","기묘한 바알 전기불꽃"
"Divergent Vaal Spark","상이한 바알 전기불꽃"
"Phantasmal Vaal Spark","몽환적인 바알 전기불꽃"
"Anomalous Vaal Spectral Throw","기묘한 바알 환영 무기 투척"
"Divergent Vaal Spectral Throw","상이한 바알 환영 무기 투척"
"Anomalous Vaal Storm Call","기묘한 바알 폭풍 부름"
"Divergent Vaal Storm Call","상이한 바알 폭풍 부름"
"Phantasmal Vaal Storm Call","몽환적인 바알 폭풍 부름"
"Anomalous Vaal Summon Skeletons","기묘한 바알 해골 소환"
"Divergent Vaal Summon Skeletons","상이한 바알 해골 소환"
"Phantasmal Vaal Summon Skeletons","몽환적인 바알 해골 소환"
"Anomalous Vengeance","기묘한 복수"
"Divergent Vengeance","상이한 복수"
"Phantasmal Vengeance","몽환적인 복수"
"Anomalous Venom Gyre","기묘한 독액 선회"
"Divergent Venom Gyre","상이한 독액 선회"
"Anomalous Vicious Projectiles","기묘한 포악한 투사체 보조"
"Divergent Vicious Projectiles","상이한 포악한 투사체 보조"
"Anomalous Vigilant Strike","기묘한 경계 타격"
"Divergent Vigilant Strike","상이한 경계 타격"
"Phantasmal Vigilant Strike","몽환적인 경계 타격"
"Anomalous Vile Toxins","기묘한 끔찍한 독소 보조"
"Divergent Vile Toxins","상이한 끔찍한 독소 보조"
"Anomalous Viper Strike","기묘한 맹독 타격"
"Divergent Viper Strike","상이한 맹독 타격"
"Phantasmal Viper Strike","몽환적인 맹독 타격"
"Anomalous Vitality","기묘한 활력"
"Divergent Vitality","상이한 활력"
"Anomalous Void Manipulation","기묘한 공허 조작 보조"
"Divergent Void Manipulation","상이한 공허 조작 보조"
"Anomalous Void Sphere","기묘한 공허 구체"
"Divergent Void Sphere","상이한 공허 구체"
"Phantasmal Void Sphere","몽환적인 공허 구체"
"Anomalous Volatile Dead","기묘한 시체 불덩이"
"Divergent Volatile Dead","상이한 시체 불덩이"
"Anomalous Volley","기묘한 사격 공세 보조"
"Divergent Volley","상이한 사격 공세 보조"
"Anomalous Vortex","기묘한 소용돌이"
"Divergent Vortex","상이한 소용돌이"
"Phantasmal Vortex","몽환적인 소용돌이"
"Anomalous Vulnerability","기묘한 취약성"
"Divergent Vulnerability","상이한 취약성"
"Anomalous War Banner","기묘한 전쟁 깃발"
"Divergent War Banner","상이한 전쟁 깃발"
"Anomalous Warlord's Mark","기묘한 전쟁군주의 징표"
"Divergent Warlord's Mark","상이한 전쟁군주의 징표"
"Anomalous Wave of Conviction","기묘한 신념의 파도"
"Divergent Wave of Conviction","상이한 신념의 파도"
"Phantasmal Wave of Conviction","몽환적인 신념의 파도"
"Anomalous Whirling Blades","기묘한 칼날 선회"
"Divergent Whirling Blades","상이한 칼날 선회"
"Anomalous Wild Strike","기묘한 사나운 타격"
"Divergent Wild Strike","상이한 사나운 타격"
"Phantasmal Wild Strike","몽환적인 사나운 타격"
"Anomalous Winter Orb","기묘한 겨울 보주"
"Divergent Winter Orb","상이한 겨울 보주"
"Phantasmal Winter Orb","몽환적인 겨울 보주"
"Anomalous Wintertide Brand","기묘한 겨울의 낙인"
"Divergent Wintertide Brand","상이한 겨울의 낙인"
"Anomalous Wither","기묘한 위축"
"Divergent Wither","상이한 위축"
"Anomalous Withering Step","기묘한 고사시키는 걸음"
"Divergent Withering Step","상이한 고사시키는 걸음"
"Anomalous Withering Touch","기묘한 위축의 손길 보조"
"Divergent Withering Touch","상이한 위축의 손길 보조"
"Anomalous Wrath","기묘한 진노"
"Divergent Wrath","상이한 진노"
"Anomalous Zealotry","기묘한 열광"
"Divergent Zealotry","상이한 열광"
"Throws a trap that damages and immobilises a","Bear Trap. 일정 시간 동안 단일 적을"
"single enemy for a duration based on how much","제자리에 고정시키고 피해를 주는 덫을 던집니다."
"damage was dealt. After the immobilise expires, a","지속시간은 받은 피해량에 비례합니다. 덫에서"
"debuff remains on the enemy for a duration,","벗어난 적은 일정 시간 동안 이동 속도가"
"lowering their movement speed by an amount which","감소하지만, 시간이 지나면서 서서히 회복됩니다."
"lessens over time. The affected enemy will take","이 상태가 지속되는 동안 적은 덫과"
"increased damage from traps and mines until the","지뢰로부터 받는 피해가 증가합니다. 주문"
"debuff expires. Modifiers to spell damage do not","피해 속성 부여는 이 스킬의 피해에 영향을"
"affect this skill's damage.","주지 않습니다."
"Grants a buff which lets you deal more physical","Herald of Purity. 주는 물리 피해를"
"damage. When you kill an enemy while you have this","증폭시키는 버프를 부여하며, 효과를 받는 동안"
"buff, this skill will summon a Sentinel of Purity, or","적을 처치하면 정화의 파수꾼 1명이 소환되지만"
"refresh the duration and life of an existing one","이미 소환된 파수꾼의 수가 최대치라면 기존 파수꾼"
"instead if you have the maximum number of them.","1명의 지속시간과 생명력이 초기화됩니다. 정화의"
"The Sentinels of Purity have a single-target melee","파수꾼은 단일 대상에 근접 공격을 하거나 근접"
"attack and an area melee attack.","범위 공격을 합니다."
"Creates a crystal that pulses with cold for a","Frost Bomb. 일정 시간 동안 냉기로"
"duration. Each pulse applies a debuff to nearby","파동치는 수정을 생성합니다. 파동이 칠 때마다"
"enemies for a secondary duration which reduces life","주변의 적들에게 별도의 지속시간이 생기는"
"and energy shield regeneration rate, and reduces","디버프를 줍니다. 디버프는 생명력과 에너지"
"energy shield recharge rate, and also inflicts Cold","보호막 재생 속도, 에너지 보호막 재충전"
"Exposure. When the crystal's duration ends, it","속도를 낮추고 냉기 노출을 유발합니다."
"explodes, dealing heavy cold damage to enemies around","수정의 지속시간이 종료되면, 폭발하여 주변의"
"it.","적들에게 큰 냉기 피해를 줍니다."
"An expanding wave of energy surges forward,","Wave of Conviction. 팽창하는 에너지의"
"damaging enemies in a cone-shaped area over a","파도가 전방으로 뿜어지면서, 지속시간 동안 부채꼴"
"duration. Each enemy hit is inflicted with Exposure","형태 범위 내에 있는 적들에게 피해를 줍니다. 이"
"matching the element of which they took the","스킬에 피해를 받은 적들은 각자 가장 많은 피해를"
"highest damage. Only one Wave of Conviction can","받은 원소 속성의 노출효과가 부여됩니다."
"be active at a time","신념의 파도는 한 번에 하나의 속성만 적용됩니다."
"Engulfs you in magical fire that rapidly burns you","Righteous Fire. 시전자의 생명력과 에너지 보호막을"
"and nearby enemies. Your spell damage is","희생하여 주변의 적들을 마법 불꽃으로 빠르게 태웁니다."
"substantially increased while under this effect. The","효과를 시전하는 동안 적에게 가하는 주문 피해가 상당히"
"effect ends when you have 1 life remaining.","증가합니다.  시전자의 생명력이 1 남으면 효과가 종료됩니다."
"Summons an Ice Golem that grants you increased","Summon Ice Golem. 시전자의 치명타 확률과"
"Critical Strike Chance and Accuracy. The Ice Golem","정확도를 증가시켜주는 얼음 골렘을 소환합니다."
"can use an icy barrage spell and a chilling spinning","얼음 골렘은 근접 공격과 함께 얼음 연발 사격,"
"dash in addition to its melee attack.","냉기 회전 질주를 사용합니다."
"Create a sphere of water, or move an existing","Hydrosphere. 물로 된 구체를 생성하거나,"
"sphere and reset its duration. The sphere","기존의 구체를 움직이고 지속 시간을 초기화합니다."
"continually applies a drenched debuff with a short","구체는 범위 내의 적들이나 통과하는 적들에게 지속적"
"duration to enemies in its area or those it moves","으로 짧은 시간동안 ""흠뻑 젖음"" 디버프를 적용합니다."
"through. You can hit the sphere with other skills to","다른 스킬로 구체를 적중시키면 (냉각이 아닌) 냉기"
"inflict Cold and Lightning Ailments (other than Chill).","및 번개 상태 이상을 적용할 수 있습니다. 구체는"
"The sphere pulses when created, at regular intervals","생성되면 상태 이상이 적용되어 있는 동안 일정 간격으로"
"while afflicted by an Ailment, and after moving,","파동을 방출하고, 움직인 후에는 넓은 범위 내에 있는"
"damaging all drenched enemies in a large area.","흠뻑 젖은 모든 적에게 피해를 줍니다."
"Summons a Chaos Golem that grants you Physical","Summon Chaos Golem. 시전자가 받는 물리"
"Damage Reduction. The Chaos Golem can use a","피해를 감소시켜주는 카오스 골렘을 소환합니다. 카오스"
"damage over time Chaos aura and a cascade of","골렘은 적에게 지속 피해를 주는 카오스 오라를 사용하며,"
"Chaos spikes in addition to its melee attack.","근접 공격과 전방으로 뻗어나가는 카오스 가시를 발사합니다."
"Summons a Stone Golem that grants you life","Summon Stone Golem. 시전자에게 생명력 재생"
"regeneration. In addition to its melee attack, the","능력을 부여하는 돌 골렘을 소환합니다. 돌 골렘은 근접"
"Stone Golem uses a rolling charge and a powerful","공격과 더불어, 구르기와 적을 도발하는 강력한 강타를"
"slam that can taunt enemies.","사용합니다."
"Summons a Carrion Golem that grants added","Summon Carrion Golem. 비-골렘 소환수에게"
"physical damage for your non-golem minions. The","추가 물리 피해를 부여하는 부패 골렘을 소환합니다."
"Carrion Golem attacks with a series of slashes that","부패 골렘은 속도와 피해량이 점차 증가하는 베기 공격을"
"increase in speed and damage, as well as a cascade","하며, 뼈다귀로 만들어진 가시를 폭포처럼 쏟아냅니다."
"of bone spikes, and deals more damage for each of","또한 부패 골렘이 가하는 피해량은 근처에 위치한 비-골렘"
"your non-golem minions near it.","소환수의 수에 비례하여 증가합니다."
"Throws a mine that deals damage in an area when","Pyroclast Mine. 폭발 시 범위 피해를"
"detonated.","주는 지뢰를 투척합니다."
"Throws a mine that fires projectiles around it when","Icicle Mine. 폭발 시 주변으로"
"detonated. These projectiles quickly dissipate as","투사체를 발사하는 지뢰를 투척합니다. 지뢰에서"
"they travel, before disappearing","발사된 투사체는 이동하면서 빠르게 사라집니다."
"Apply a powerful debuff to enemies around you","Vaal Blight. 시전자 주변에 디버프를"
"which deals chaos damage over time. Then applies","걸어 지속 카오스 피해를 줍니다. 그 후"
"two additional layers in a larger area, growing","더 큰 범위로 2번의 디버프를 걸며 단계별로"
"greatly in size each time. Enemies are also","범위가 크게 넓어집니다. 적들은 별도의 짧은"
"substantially hindered for a shorter secondary","지속시간 동안 상당한 이동 방해를 받아 이동이"
"duration, slowing their movement.","느려지게 됩니다."
"Apply a debuff to enemies in front of you which","Blight. 전방의 적들에게 디버프를 걸어 지속"
"deals chaos damage over time. Enemies who aren't","카오스 피해를 줍니다. 기존에 황폐 디버프에 걸리지"
"already debuffed by Blight are also hindered for a","않은 적들은 이보다 짧은 별도의 지속시간 동안 이동"
"shorter secondary duration, slowing their movement.","방해를 받아 이동이 느려집니다. 집중 유지를 계속하면"
"Continued channelling adds layers of damage to the","디버프가 중첩되어 지속 피해가 단계적으로 증가하며,"
"debuff, each with their own duration.","각각 별도의 지속시간을 갖습니다."
"detonated, then launches fiery projectiles that rain","주는 지뢰를 투척하면, 불타는 투사체들이 발사되어"
"down around it, each dealing damage in a smaller","그 주변에 쏟아져 내리면서 개별적으로 작은 범위에"
"area.","피해를 줍니다."
"Create a wall of fire for a duration, which deals","Flame Wall. 일정 시간 동안 불꽃으로"
"burning damage to everything in its area. Each","벽을 생성하여 사정거리 내에 있는 모든 것에"
"enemy that enters the wall also receives a","화염 피해를 줍니다. 벽에 들어가는 적은 벽을"
"secondary burning debuff which persists for a short","떠난 후 짧은 시간 동안 지속되는 2차 화상"
"duration after leaving the wall. Any projectiles fired","디버프를 받습니다. 플레이어나 동료들이 발사하는"
"through the wall by you and allies deal added fire","투사체가 이 벽을 통과하면 투사체에 화염 피해가"
"damage and apply the wall's secondary debuff on","추가되고, 명중 시 벽과 동일한 2차 화상"
"hit.","디버프를 줍니다."
"Unleash a beam of fire that burns enemies it","Scorching Ray. 적들에게 화상을 주는"
"touches. Remaining in the beam intensifies the","화염 광선을 시전합니다. 광선 속 적들은 화상이"
"burning, adding a portion of the beam's damage in","심해지며, 단계가 거듭될수록 광선의 피해가 추가됩니다."
"stages. Inflicts Fire Exposure at maximum stages.","최대 단계에 이르면 적에게 화염 노출을 적용합니다."
"Enemies who leave the beam continue to burn for a","광선에서 벗어난 적들은 일정 시간 동안 화상이"
"duration. Increasing cast speed also increases the","지속됩니다. 시전 속도가 빨라지면 광선이 선회하는"
"rate at which the beam can turn.","속도도 빨라집니다."
"Throws a trap that applies debuff beams to a","Siphoning Trap. 지속시간 동안 다수의"
"number of nearby enemies for a duration. The","근접한 적에게 디버프 광선을 시전하는 덫을"
"beams chill enemies and deal cold damage over","투척합니다.  광선은 적을 냉각시켜 지속 냉기"
"time. A beam is also applied to you, granting life","피해를 주는 동시에, 적에게 걸린 디버프 광선의"
"and mana regeneration based on the number of","숫자에 비례해 시전자는 생명력과 마나 재생을"
"debuff beams affecting enemies.","얻습니다."
"Grants a buff adding cold damage to spells and","Herald of Ice. 주문과 공격에 냉기"
"attacks. If you shatter an enemy, this skill will","피해를 추가하는 버프를 부여합니다. 적을"
"cause them to explode and deal AoE cold damage to","박살내면 이 스킬이 해당 적을 폭발시켜 적들에게"
"enemies near them. This damage is not affected by","범위 냉기 피해를 줍니다. 이 피해는 주문 피해"
"modifiers to spell damage.","속성 부여에 영향을 받지 않습니다."
"Summons a Flame Golem that grants you increased","Summon Flame Golem. 시전자가 하는 모든"
"Damage. The Flame Golem can use a fire spray, a","공격의 피해를 증가시켜주는 화염 골렘을 소환합니다."
"wave of fire damage, and an explosive arcing","화염 골렘은 화염 분사, 화염 피해의 파도, 포물선을"
"projectile.","그리며 날아가는 폭발성 투사체를 사용합니다."
"Performs a melee attack, and causes lightning to","Smite.근접 공격으로 목표 지점이나 주변의"
"strike a targeted location or nearby enemy, dealing","적에게 벼락을 떨어트려 범위 피해를 줍니다."
"damage in an area. If the melee strike hits a target,","근접 공격이 대상을 명중하는 경우 해당 적에겐"
"that enemy cannot also be hit by the area damage.","범위 피해를 주지 않습니다. 이 스킬로 적을"
"If this skill hits an enemy, you gain an aura buff,","명중시키면 오라 버프를 획득하여, 시전자와"
"granting you and your allies additional lightning","동료들은 지속시간 동안 추가 번개 피해를 줍니다."
"damage for a duration. Requires a Sword, Axe,","검이나 도끼, 철퇴, 셉터, 지팡이 착용 혹은"
"Mace, Sceptre, Staff or Unarmed.","비무장 상태여야 합니다."
"Attack Speed Multiplier","공격 속도 배율"
"{0}% of base","기본의 {0}%"
"Summons a Lightning Golem that grants you","Summon Lightning Golem. 시전자의"
"increased Attack and Cast speed. The Lightning","공격 및 시전 속도를 증가시키는 번개 골렘을"
"Golem fires a projectile spell, creates orbs of","소환합니다. 번개 골렘은 투사체 주문을"
"Lightning that zap nearby enemies, and casts a","발사하며, 주변의 적을 공격하는 번개 구슬을"
"temporary aura that grants added Lightning","소환합니다. 골렘과 주변 동료들의 주문과"
"Damage to spells and attacks used by the Golem","공격에 번개 피해를 추가하는 일시적 오라를"
"and its nearby allies.","시전합니다."
"Grants a buff giving more poison damage and a","Herald of Agony. 독 피해를 증가시키고"
"chance to inflict poison. When you poison an enemy","일정 확률로 중독시키는 버프를 시전합니다. 이 버프를"
